vaccine_name
コロナウイルス（ＳＡＲＳ－ＣｏＶ－２）ＲＮＡワクチン
コロナウイルス（ＳＡＲＳ－ＣｏＶ－２）ＲＮＡワクチン＊
乾燥ヘモフィルスｂ型ワクチン（破傷風トキソイド結合体）
インフルエンザＨＡワクチン
沈降１３価肺炎球菌結合型ワクチン（無毒性変異ジフテリア毒素結合体）
組換え沈降２価ヒトパピローマウイルス様粒子ワクチン（イラクサギンウワバ細胞由来）
弱毒生ヒトロタウイルスワクチン
肺炎球菌ワクチン
組換え沈降Ｂ型肝炎ワクチン（酵母由来）
沈降精製百日せきジフテリア破傷風不活化ポリオ（セービン株）混合ワクチン
５価弱毒生ロタウイルスワクチン
組換え沈降４価ヒトパピローマウイルス様粒子ワクチン（酵母由来）
乾燥弱毒生おたふくかぜワクチン
沈降７価肺炎球菌結合型ワクチン（無毒性変異ジフテリア毒素結合体）
乾燥弱毒生麻しん風しん混合ワクチン
乾燥細胞培養日本脳炎ワクチン
乾燥弱毒生水痘ワクチン
乾燥ＢＣＧワクチン
Ａ型インフルエンザＨＡワクチン（Ｈ１Ｎ１株）
沈降精製百日せきジフテリア破傷風混合ワクチン
組換え沈降９価ヒトパピローマウイルス様粒子ワクチン（酵母由来）
沈降精製百日せきジフテリア破傷風不活化ポリオ（ソークワクチン）混合ワクチン
コロナウイルス（ＳＡＲＳ－ＣｏＶ－２）ＲＮＡワクチン＊＊
乾燥組換え帯状疱疹ワクチン（チャイニーズハムスター卵巣細胞由来）
不活化ポリオワクチン（ソークワクチン）
沈降Ｂ型肝炎ワクチン
沈降ジフテリア破傷風混合トキソイド
日本脳炎ワクチン
沈降破傷風トキソイド
乾燥弱毒生麻しんワクチン
乾燥組織培養不活化狂犬病ワクチン
乾燥弱毒生風しんワクチン
組換えコロナウイルス（ＳＡＲＳ－ＣｏＶ－２）ワクチン
インフルエンザワクチン
コロナウイルス（ＳＡＲＳ－ＣｏＶ－２）ワクチン（遺伝子組換えサルアデノウイルスベクター）
乾燥組織培養不活化Ａ型肝炎ワクチン
おたふくかぜワクチン
ワクチン類
コロナウイルス（ＳＡＲＳ－ＣｏＶ－２）ＲＮＡワクチン＊＊＊
黄熱ワクチン
生ポリオワクチン
沈降１５価肺炎球菌結合型ワクチン（無毒性変異ジフテリア毒素結合体）
沈降精製百日せきジフテリア破傷風不活化ポリオヘモフィルスｂ型混合ワクチン
水痘抗原
ペプチドワクチン
沈降Ｂ型肝炎ワクチン（ｈｕＧＫ－１４細胞由来）
４価髄膜炎菌ワクチン（ジフテリアトキソイド結合体）
沈降インフルエンザワクチン（Ｈ５Ｎ１株）
コロナウイルスワクチン
DTP-IPV VACCINE
ジフテリア破傷風混合トキソイド
乾燥抗破傷風人免疫グロブリン
コロナウイルス（ＳＡＲＳ－ＣｏＶ－２）ＲＮＡワクチン＊＊＊＊
VACCINES
ジフテリアトキソイド
乾燥細胞培養痘そうワクチン
DPT-IPV VACCINE
乳濁細胞培養インフルエンザＨＡワクチン（Ｈ５Ｎ１株）
CORONAVIRUS MODIFIED URIDINE RNA VACCINE(SARS-COV-2)
抗破傷風人免疫グロブリン
沈降B型肝炎ワクチン
ヒブワクチン
COVID-19 Vaccine
ＣＤＨ３ペプチドワクチン
百日咳、不活化ポリオ、破傷風トキソイドワクチン
狂犬病ワクチン（輸入）
４価髄膜炎菌ワクチン（破傷風トキソイド結合体）
ACTHIB
沈降ジフテリアトキソイド〔成人用〕
エピトープペプチドワクチン
COVID-19 VACCINE
COVID-19 vaccine
COVID19治療薬
Covid-19 Vaccine
HEPATITIS B VACCINE
TYPHOID VACCINE
ハスミワクチン
水痘ワクチン
ワクチン類（一般薬）
乾燥ヘモフィルスB型ワクチン(破傷風トキソイド結合体)
乾燥ヘモフィルスb型ワクチン
新型コロナウイルスワクチン
新型コロナワクチン
ＭＲワクチン
